task,pass_or_fail,time_token
"How long does it take 7 people to tailor 4 jackets, if it takes 7 people 7 hours to tailor 7 jackets?",1,4.29106
"How long does it take 8 washing machines to wash 4 loads of laundry, if it takes 8 washing machines 8 hours to wash 8 loads of laundry?",1,2.6052733333333333
"How long does it take 60 bees to pollinate 50 flowers, if it takes 60 bees 60 minutes to pollinate 60 flowers?",1,2.4812600000000002
"How long does it take 5 carpenter to make 1 chair, if it takes 5 carpenters 5 days to make 5 chairs?",0,2.9072333333333336
"How long does it take 60 ovens to bake 10 lasagnas, if it takes 60 ovens 60 minutes to bake 60 lasagnas?",1,2.8505933333333338
"How long does it take 6 researcher to publish 1 paper, if it takes 6 researchers 6 years to publish 6 papers?",0,2.850546666666667
"How long does it take 50 cleaners to clean 30 rooms, if it takes 50 cleaners 50 hours to clean 50 rooms?",1,2.5349566666666665
"How long does it take 70 students to change 40 light bulbs, if it takes 70 students 70 minutes to change 70 light bulbs?",1,2.7409966666666663
"How long does it take 50 builders to build 40 houses, if it takes 50 builders 50 weeks to build 50 houses?",1,2.9734700000000003
"How long does it take 6 people to plant 5 trees, if it takes 6 people 6 minutes to plant 6 trees?",1,2.54079
"How long does it take 40 coffee machines to make 30 coffees, if it takes 40 coffee machines 40 minutes to make 40 coffees?",1,2.7948800000000005
"How long does it take 8 machines to pack 5 boxes of chocolates, if it takes 8 machines 8 minutes to pack 8 boxes of chocolates?",1,2.8516933333333334
"How long does it take 50 children to eat 10 boxes of chocolates, if it takes 50 children 50 minutes to eat 50 boxes of chocolates?",1,2.732816666666667
"How long does it take 4 people to read 2 books, if it takes 4 people 4 weeks to read 4 books?",1,2.689333333333334
"How long does it take 8 teams to renovate 5 houses, if it takes 8 teams 8 weeks to renovate 8 houses?",1,2.61931
"How long does it take 40 people to knit 30 pairs of socks, if it takes 40 people 40 weeks to knit 40 pairs of socks?",1,2.749753333333333
"How long does it take 70 people to pick 40 fields of strawberries, if it takes 70 people 70 hours to pick 70 fields of strawberries?",1,2.76456
"How long does it take 7 programmers to write 6 lines of code, if it takes 7 programmers 7 hours to write 7 lines of code?",1,2.4670233333333336
"How long does it take 8 photographers to take 4 photos, if it takes 8 photographers 8 hours to take 8 photos?",1,3.222983333333333
"How long does it take 8 painter to paint 1 painting, if it takes 8 painters 8 hours to paint 8 paintings?",0,3.4170466666666663
"How long does it take 70 writers to write 50 books, if it takes 70 writers 70 minutes to write 70 books?",1,2.5504666666666664
"How long does it take 8 cooks to cook 2 meals, if it takes 8 cooks 8 minutes to cook 8 meals?",0,2.8491
"How long does it take 60 doctors to examine 50 patients, if it takes 60 doctors 60 minutes to examine 60 patients?",1,2.580693333333333
"How long does it take 7 drivers to change 2 tires, if it takes 7 drivers 7 minutes to change 7 tires?",0,3.399856666666667
"How long does it take 8 farm workers to pick 2 apples, if it takes 8 farm workers 8 seconds to pick 8 apples?",1,2.8255233333333334
"How long does it take 6 freezers to freeze 4 liters of water, if it takes 6 freezers 6 hours to freeze 6 liters of water?",1,2.9604166666666667
"How long does it take 80 bakers to bake 20 cakes, if it takes 80 bakers 80 hours to bake 80 cakes?",1,3.19518
"How long does it take 50 hair stylists to finish 30 hairstyles, if it takes 50 hair stylists 50 minutes to finish 50 hairstyles?",1,2.6309233333333335
"How long does it take 3 mechanics to fix 2 cars, if it takes 3 mechanics 3 hours to fix 3 cars?",0,3.0853466666666667
"How long does it take 50 tailors to make 20 dresses, if it takes 50 tailors 50 hours to make 50 dresses?",1,3.1154466666666667
"How long does it take 4 painters to paint 3 rooms, if it takes 4 painters 4 hours to paint 4 rooms?",0,2.6427033333333334
"How long does it take 60 trees to grow 40 leaves, if it takes 60 trees 60 days to grow 60 leaves?",1,2.8004800000000003
"How long does it take 5 runner to clean 1 shoe, if it takes 5 runners 5 minutes to clean 5 shoes?",0,2.6243133333333333
"How long does it take 6 translators to translate 3 pages, if it takes 6 translators 6 hours to translate 6 pages?",0,3.048023333333333
"How long does it take 3 machines to make 2 smartphones, if it takes 3 machines 3 hours to make 3 smartphones?",1,2.9273333333333333
"How long does it take 70 people to smoke 50 cigarettes, if it takes 70 people 70 minutes to smoke 70 cigarettes?",1,2.685983333333333
"How long does it take 8 opticians to make 7 glasses, if it takes 8 opticians 8 days to make 8 glasses?",1,2.7362699999999998
"How long does it take 60 pipes to fill 40 containers, if it takes 60 pipes 60 hours to fill 60 containers?",1,2.6263033333333334
"How long does it take 80 people to eat 50 pizzas, if it takes 80 people 80 minutes to eat 80 pizzas?",1,2.69711
"How long does it take 80 kettles to boil 20 liters of water, if it takes 80 kettles 80 hours to boil 80 liters of water?",1,2.4445666666666668
"How long does it take 80 air conditioners to cool 40 rooms, if it takes 80 air conditioners 80 minutes to cool 80 rooms?",1,2.7025733333333335
"How long does it take 7 students to finish 5 exams, if it takes 7 students 7 minutes to finish 7 exams?",1,2.8847233333333335
"How long does it take 70 men to make 40 pies, if it takes 70 men 70 minutes to make 70 pies?",1,2.6951066666666663
"How long does it take 8 barista to make 1 coffee, if it takes 8 baristas 8 minutes to make 8 coffees?",0,2.4356533333333332
"How long does it take 70 people to cook 10 packs of spaghetti, if it takes 70 people 70 minutes to cook 70 packs of spaghetti?",1,2.8183133333333337
"How long does it take 8 people to renovate 5 bathrooms, if it takes 8 people 8 days to renovate 8 bathrooms?",1,2.857196666666667
"How long does it take 3 fish to eat 1 worm, if it takes 3 fish 3 days to eat 3 worms?",0,2.7290833333333335
"How long does it take 3 operator to connect 1 phone call, if it takes 3 operators 3 hours to connect 3 phone calls?",0,3.33873
"How long does it take 80 printers to print 20 documents, if it takes 80 printers 80 minutes to print 80 documents?",1,2.7746866666666663
"How long does it take 80 husbands to feed 70 babies, if it takes 80 husbands 80 minutes to feed 80 babies?",1,3.2078133333333336
