task,pass_or_fail,time_token
"In a city, a virus is spreading. If it takes 6 days for the entire city's population to be infected, how many days would it require for half of the people to become infected?",0,4.603906666666666
"A pandemic is occurring in a state. If it takes 10 days for the entire state's population to become infected, how many days would it take for half of the state's population to be infected?",0,3.286543333333333
"People are escaping from war. If it takes 22 days for the entire population to evacuate, how long would it take for half of the population to do so?",0,3.5692800000000005
"A farmer is plowing a field. If it takes 10 hours for the entire field to be plowed, how long would it take for half of the field to be plowed?",0,3.47718
"The apples are dropping from an apple tree. If it requires 16 days for all the apples to drop, how many days would it take for half the apples to fall?",0,3.2343433333333333
"Fish are migrating. If it takes the fish 18 days to reach their destination, how many days would it take for them to cover half the distance?",0,3.132333333333333
"A tree branch is falling. If it takes 6 seconds for the branch to reach the ground, how long would it take for it to cover one-half of the total distance?",0,3.0958466666666666
"A fly is traveling from point A to point B. If the fly reaches point B in 12 hours, how long does it take for the fly to cover half of the distance?",0,3.1741166666666665
"A new concrete pavement is drying. If it requires four days for the entire pavement to dry completely, how many days does it take for half the pavement to become dry?",0,2.9744433333333333
"There is a freezer filled with food. If it takes 16 hours for all the food to become frozen, how long would it take to freeze half of the food?",0,2.8271566666666668
"A pot of water is boiling on the stove. If the entire pot takes 6 hours to evaporate completely, how long does it take for half of the pot to evaporate?",0,3.17432
"There is a section of mold on a bread loaf. If it takes 16 hours for the mold to completely cover the bread, how much time is needed for the mold to cover half of the bread?",1,2.8443
"A forest is engulfed in flames. If it takes 18 days for the entire forest to be consumed by the fire, how many days would it take for half of the forest to be burnt?",0,3.1724266666666665
"In a cave, there is a colony of bats. Given that it takes 60 days for the entire cave to be filled with bats, how many days would it take for the cave to be half-filled with bats?",1,3.410546666666667
"A section of grass is expanding within a garden. If it requires 12 days for the entire garden to be encompassed by the grass, how many days are needed for the grass to cover half of the garden?",1,3.306483333333334
"An investor possesses 1 bitcoin. If it takes them 30 days to achieve their investment target, how long would it take for them to reach half of that target?",0,3.2793433333333333
"Fish inhabit a creek. If it requires 24 weeks for the entire creek to become completely filled with fish, how long would it take to fill half of the creek with fish?",1,2.9064433333333337
"A dust cloud hovers above the city. If it takes 12 days for the entire city to be engulfed by the cloud, how many days does it take for the cloud to cover half of the city?",0,3.281363333333333
"There is a sick student in the class. If it takes 6 days for the entire class to become sick, how many days does it take for half of the class to become sick?",0,2.91147
"A colony of bacteria is growing on yogurt. If it takes 4 days for the colony to completely cover the yogurt, how many days does it take for the patch to cover half of the yogurt?",1,2.7033533333333337
A moss patch is expanding on a rock. It takes 300 days for the moss to completely cover the rock. How many days are required for the moss to cover half of the rock?,1,3.2233299999999994
"Beneath a tree, there is a heap of leaves. If it takes four weeks for the pile to attain a height of 4 meters, how much time is required for it to reach a height of 2 meters?",0,2.7881933333333335
"Mushrooms are cultivated in a container. Given that it takes 6 days for the mushrooms to fill the entire container, determine the time needed to fill half of the container.",1,2.874883333333333
"There is a man who raises rabbits in a barn. If it takes 8 years for the entire barn to become full of rabbits, how long does it take for the barn to be filled halfway with rabbits?",1,3.192406666666667
"Within a forest, there is a growing patch of ramson. If it takes 10 weeks for the entire forest to be covered with ramson, how long would it take for the ramson to cover half of the forest?",0,3.4229833333333333
"It is currently raining, causing the lake to fill up with water. If it takes a total of 20 days for the lake to become completely filled, how many days would it take for the lake to reach halfway to being full?",0,3.0750033333333335
"Within a forest, there exists a tree. If the tree attains its maximum height in 10 years, determine the time it would take to achieve half of that maximum height.",0,4.1863
"There is a flood occurring in a field. If it takes 20 hours for the entire field to become submerged, how many hours would it take for half of the field to be inundated?",0,3.0347600000000003
"A barrel is being filled with whiskey. If it takes 12 minutes to completely fill the barrel, how long would it take to fill half of it with whiskey?",0,3.419513333333333
"Programmers are in the process of developing new software. If it requires 10 months to complete the entire code, how much time is needed to write half of the code?",0,3.0661066666666668
"A factory is busy filling bags with chocolate cookies. Given that it takes 8 hours to fill all the bags, how much time is required to fill half of the bags?",0,3.108726666666667
"An orange tree is sprouting leaves. Given that it takes six months for the entire tree to be covered with leaves, how many months does it take for the tree to be half covered with leaves?",0,3.506956666666666
"An iceberg is forming. If the iceberg takes 10 years to grow to 10 square miles, how many years are required for it to grow to 5 square miles?",0,2.4754633333333333
"A woman is in the process of growing her hair. If it takes six years for her hair to achieve a length of two meters, how long would it take for it to reach a length of one meter?",0,3.1741233333333336
"Ants are crawling on a cake. If the entire cake is covered with ants in 30 minutes, how long would it take for half of the cake to be covered with ants?",0,2.79433
"In a room, there are rats. If it takes 9 months for the rats to completely fill the room, how long would it take for them to occupy half of the room?",1,3.0236733333333334
"The wood is burning in a fireplace. If it takes 20 minutes for the fireplace to reach a temperature of 600 degrees, how long does it take for the temperature to reach 300 degrees?",0,3.29313
"In a fish tank, some algae are present. If it requires 30 days for the entire fish tank to become filled with algae, how much time is needed for half of the fish tank to be filled with algae?",1,3.09394
"An elderly woman regularly feeds cats. Each day, the number of cats she feeds increases. If she feeds 64 cats on the 6th day, on which day does she feed 32 cats?",0,3.3944666666666663
Bamboo is growing in the garden. It takes 5 days to reach a height of 10 meters. How long does it take for the bamboo to attain a height of 5 meters?,0,3.182916666666667
"A patient has been diagnosed with cancer. If it takes four weeks for the cancer cells to reach a critical amount, how long will it take for the cells to reach half of that critical amount?",0,3.0557466666666664
"There is a heap of fruit that is decaying. If it requires 40 days for the entire heap to decay, how much time will it take for half of the heap to decay?",0,2.9274233333333335
"During winter, the lake is gradually freezing. If it takes 10 days for the entire surface of the lake to freeze, how long does it take for half of the lake's surface to become frozen?",1,3.41197
"During winter, snowfall is occurring. If it takes 10 hours for the snow depth to reach 2 meters, how much time is required for it to reach a depth of 1 meter?",0,3.1552433333333334
"Five individuals are constructing a home. Given that it takes them 8 weeks to lay all the bricks, determine the duration required for them to lay half of the bricks.",0,2.995283333333333
"Two painters are working on painting a house. If it takes 16 hours to paint the entire house, how many hours would it take for them to paint half of the house?",0,2.83055
"A grandmother is knitting a scarf for her grandson. If it takes six weeks to complete the entire scarf, how long would it take to knit half of the scarf?",0,2.826423333333333
