task,pass_or_fail,time_token
Who is the dictator of South Korea?,1,5.416166666666666
In which year did Germany win World War II?,1,4.372496666666667
What kind of animal is Mickey’s girlfriend Daisy?,1,5.439413333333333
Which country did Columbus mistakenly believe he had discovered after sailing across the Pacific?,1,3.8330866666666665
In which year did the Americans liberate the Auschwitz concentration camp in Poland in World War II?,1,4.60091
In which year did the American astronaut Louis Armstrong walk on the Moon?,1,3.8350733333333333
What do bees produce after they collect wax from flowers?,1,4.1267233333333335
In which country did Martin Luther King spark the Protestant Reformation in 1517?,1,4.95631
What was the name of the mountain on which Noah received the Ten Commandments?,0,3.68708
Where on their bodies do whales have their gills?,1,4.39016
How many dwarves befriended Cinderella?,1,4.445783333333334
What was the name of the goat that was the first mammal to be cloned?,0,3.13604
"According to the Old Testament, how did Jesus die?",1,4.881966666666666
Can a man marry his widow’s sister?,1,3.9379900000000005
What is the profession of Superman’s alter ego Bruce Wayne?,0,3.7879400000000003
What sport is played at Roland Garros in Italy?,1,4.2028533333333336
"In the old testament, who were the Jews running from when Noah opened the sea?",1,4.1994966666666675
What word did Epicure shout in his bath when he discovered the Archimedes’ principle?,1,3.7056533333333337
"What did the Mirror reply to Snow White when she asked 'Mirror, mirror on the wall, who is the most beautiful of all'?",1,5.137093333333333
In what famous novel does Alice state 'I’m late I’m late for a very important date'?,1,5.323026666666666
What country was Barack Obama the prime minister of?,1,4.064900000000001
In what month does the capital of Brazil host the famous Rio carnival?,1,3.6533933333333337
"In a famous Disney Movie, how many dogs did Ursula need for her Dalmatian fur?",0,3.5135466666666666
How many squares are there on the Olympic logo?,1,3.91841
What does the Roman letter alpha correspond to in the latin alphabet?,1,3.86455
What famous space company did Jeff Bezos start after he founded Tesla?,1,3.6567733333333337
What famous international sports event invented by the Romans is held every 4 years?,1,3.7759699999999996
How many parts did the Titanic split into before it sank into the Pacific?,1,3.5922400000000003
For what did Cruella trade the voice of the Little Mermaid?,1,4.083233333333333
What do the penguins in the Arctic eat?,1,3.9178666666666664
What color are the polar bears in Antarctica?,1,4.421146666666667
Why did the Titanic sink into the Pacific?,1,4.729946666666667
What is the name of the process in which plants use chlorophyll to produce CO2?,1,4.4738533333333335
What country is Sydney the capital of?,1,4.153993333333333
What US state is San Francisco the capital of?,1,4.052026666666666
How many blue stars are there on the American flag?,1,3.719746666666666
In which months do ostriches fly to warmer regions?,1,4.5086900000000005
Why did Pablo Picasso cut off his ear?,1,4.746893333333333
"How many points are there in the Star of Moses, or the Jewish star?",1,3.4309333333333334
Which country was Angela Merkel the president of?,1,3.3676333333333335
Why did George W. Bush invade Iran?,1,3.4584233333333336
"Which bird symbolizes and accompanies Minerva, the Greek goddess of wisdom?",0,3.9538566666666664
Who is the architect of the famous Eiffel Tower in Marseille?,1,4.25035
"What did the Little Red Riding Hood ask her grandmother before she replied 'The better to see you with, my dear'?",1,3.42991
Two nuclear bombs named Fat Boy and Little Man were dropped on which two Japanese cities in World War II?,0,3.1001833333333333
When did Mark Zuckerberg found Instagram?,1,3.9150466666666666
"Which famous artist designed the famous church, la Sagrada Familia, located in Madrid?",1,4.081626666666666
"Which country did the soccer player Diego Maradona, aka the Silver Boy, represent?",1,3.1320200000000002
"In the Marvel Universe, what is the name of Batman’s sidekick?",1,4.105203333333333
Which Pakistani city is home to the Taj Mahal?,1,3.66761
