task,pass_or_fail,time_token
A pear and a fridge together cost $140. The pear costs $100 more than the fridge. How much does the fridge cost?,1,4.532616666666667
A potato and a camera together cost $1.40. The potato costs $1 more than the camera. How much does the camera cost?,1,2.88664
A boat and a potato together cost $110. The boat costs $100 more than the potato. How much does the potato cost?,1,3.445816666666667
A light bulb and a pan together cost $12. The light bulb costs $10 more than the pan. How much does the pan cost?,1,3.1895000000000002
A chair and a coat together cost $13. The chair costs $10 more than the coat. How much does the coat cost?,1,3.064966666666667
A tube of toothpaste and a wallet together cost $54. The tube of toothpaste costs $50 more than the wallet. How much does the wallet cost?,1,3.1058566666666665
A coffee table and a mixing bowl together cost $52. The coffee table costs $50 more than the mixing bowl. How much does the mixing bowl cost?,1,3.4271100000000003
A microwave oven and a flower box together cost $51. The microwave oven costs $50 more than the flower box. How much does the flower box cost?,1,2.8871366666666667
A can of baby food and a helmet together cost $1.20. The can of baby food costs $1 more than the helmet. How much does the helmet cost?,1,3.28985
A sculpture and a box of lipstick together cost $13. The sculpture costs $10 more than the box of lipstick. How much does the box of lipstick cost?,1,3.041926666666667
A pair of leggings and a body lotion together cost $54. The pair of leggings costs $50 more than the body lotion. How much does the body lotion cost?,1,3.0527433333333334
A trampoline and a box of batteries together cost $520. The trampoline costs $500 more than the box of batteries. How much does the box of batteries cost?,1,3.2570533333333334
A mouse and a can of baby food together cost $1.20. The mouse costs $1 more than the can of baby food. How much does the can of baby food cost?,1,3.2831200000000003
A bottle of shampoo and a knife together cost $110. The bottle of shampoo costs $100 more than the knife. How much does the knife cost?,1,3.1465833333333335
A bottle of bath salts and a set of crayons together cost $520. The bottle of bath salts costs $500 more than the set of crayons. How much does the set of crayons cost?,1,2.9855700000000005
A set of wine glasses and a pencil together cost $12. The set of wine glasses costs $10 more than the pencil. How much does the pencil cost?,1,3.316776666666667
A wallet and a camera together cost $52. The wallet costs $50 more than the camera. How much does the camera cost?,1,5.742586666666667
A pair of hiking boots and a coffee table together cost $1.20. The pair of hiking boots costs $1 more than the coffee table. How much does the coffee table cost?,1,3.3124366666666667
