task,s1_fail_or_pass,s1_time_token,s2_fail_or_pass,s2_time_token,s1_or_s2
A CD and a pan together cost $13. The CD costs $10 more than the pan. How much does the pan cost?,1,3.3496366666666666,1,3.048106666666667,1
A CD and a pan together cost $13. The CD costs $10. How much does the pan cost?,0,2.97355,0,2.72208,0
A bag and a coffee table together cost $53. The bag costs $50 more than the coffee table. How much does the coffee table cost?,1,2.976226666666667,1,3.3425066666666665,0
A bag and a coffee table together cost $53. The bag costs $50. How much does the coffee table cost?,0,2.9185033333333337,0,2.828796666666667,0
A bag and a food processor together cost $54. The bag costs $50 more than the food processor. How much does the food processor cost?,1,2.99974,1,3.116376666666667,0
A bag and a food processor together cost $54. The bag costs $50. How much does the food processor cost?,0,2.890753333333333,0,2.824873333333333,0
"A barrel is being filled with whiskey, and the total volume of whiskey doubles every minute. If it takes 12 minutes to completely fill the barrel, how long would it take to fill half of it with whiskey?",1,3.9224666666666663,1,2.879683333333334,1
"A barrel is being filled with whiskey. If it takes 12 minutes to completely fill the barrel, how long would it take to fill half of it with whiskey?",0,3.419513333333333,0,3.0206633333333333,0
A blanket and a flashlight together cost $52. The blanket costs $50 more than the flashlight. How much does the flashlight cost?,1,2.792123333333333,1,3.025816666666667,0
A blanket and a flashlight together cost $52. The blanket costs $50. How much does the flashlight cost?,0,3.704790000000001,0,2.869523333333333,0
A boat and a potato together cost $110. The boat costs $100 more than the potato. How much does the potato cost?,1,3.445816666666667,1,3.11517,1
A boat and a potato together cost $110. The boat costs $100. How much does the potato cost?,0,3.29595,0,2.9186300000000003,0
A bottle of bath salts and a pack of diapers together cost $510. The bottle of bath salts costs $500 more than the pack of diapers. How much does the pack of diapers cost?,1,2.8309133333333336,1,3.13743,0
A bottle of bath salts and a pack of diapers together cost $510. The bottle of bath salts costs $500. How much does the pack of diapers cost?,0,3.23466,0,2.86488,0
A bottle of bath salts and a set of crayons together cost $520. The bottle of bath salts costs $500 more than the set of crayons. How much does the set of crayons cost?,1,2.9855700000000005,1,3.0342733333333336,0
A bottle of bath salts and a set of crayons together cost $520. The bottle of bath salts costs $500. How much does the set of crayons cost?,0,3.4728933333333334,0,2.88592,0
A bottle of shampoo and a knife together cost $110. The bottle of shampoo costs $100 more than the knife. How much does the knife cost?,1,3.146583333333333,1,2.7677,1
A bottle of shampoo and a knife together cost $110. The bottle of shampoo costs $100. How much does the knife cost?,0,3.4238866666666667,0,3.380876666666667,0
A box of mascara and a microwave oven together cost $14. The box of mascara costs $10 more than the microwave oven. How much does the microwave oven cost?,1,2.893546666666667,1,3.0946933333333333,0
A box of mascara and a microwave oven together cost $14. The box of mascara costs $10. How much does the microwave oven cost?,0,2.95255,0,2.682823333333334,0
A can of baby food and a helmet together cost $1.20. The can of baby food costs $1 more than the helmet. How much does the helmet cost?,1,3.28985,1,2.888723333333333,1
A can of baby food and a helmet together cost $1.20. The can of baby food costs $1. How much does the helmet cost?,0,3.698006666666666,0,2.9992066666666664,0
A chair and a coat together cost $13. The chair costs $10 more than the coat. How much does the coat cost?,1,3.064966666666667,1,2.787103333333333,1
A chair and a coat together cost $13. The chair costs $10. How much does the coat cost?,0,3.203113333333333,0,2.7859600000000007,0
